name,force,lvl,subtype,text,skill,art
Living Home,2,2,Structure Golem,Draw a card when an icon enters your control.,"{skill:Magic Link} Search your deck for a card with {skill:Magic Link} and reveal it, or set a card from your hand with {skill:Magic Link}.",livingHome.png
Boil Beast,3,3,Plague Monster,"Whenever an instance of sick damage occurs, draw a card.",,boilBeast.png
Sap Spider,0,3,Monster,,"{key:instant, bleed}
{skill:Sucker} Sap Spider swaps {force:?} with target unit your opponent controls.",sapSpider.png
Tomb Crawler,3,3,Ghost Monster,"{key:Quick}
{trigger:victor} Discard a card from your hand. If you do, draw a card.",,tombCrawler.png
Locust,2,3,Plague Bug,"{key:effect}
Locust has {key:Quick} when attacking. Every time a card gains {key:sick},  this card gains {force:1}.",,locust.png
Mog of The Bog,0,3,Plague Monster,"{key:muted, Bleed, Sick}
Mog of the Bog gains {force:2} instead of taking sick damage.",{fskill:Contagious} Cure a card you control: give {key:sick} to another card in play. Cannot target the same card twice in one turn.,mog.png
Conjoined,3,3,Plague Monster,,"{key:effect, sick}
{skill:New Part} Create a Mold {force:1} token, then attach a unit from your hand to it. Mold gains the text of the attached unit (the attached unit goes to the discard when Mold perishes).",conjoined.png
Doctor,0,3,Plague Wizard,"{key:Static}
Doctor does not take sick damage.",{fskill:Surgery} Cure a card: target unit you control gains {force:3}.,doctor.png
False Golem,?,3,Magic Golem,"{key:delayed}
{trigger:enter} Void a unit in your discard. False Golem gains the text and {force:?} of the voided unit (any {trigger:enter} effects retrigger). If there are no applicable cards, False Golem becomes {force:0}.",,falseGolem.png
Pearl Aggressor,1,3,Golem,"{key:bleed}
{cost:Must be played in the right zone.} Cards you control in the center zone get +{force:2}.","{skill:Magic Link} Search your deck for a card with {skill:Magic Link} and reveal it, or set a card from your hand with {skill:Magic Link}.",pearlGolem.png
Cheshire Cat,2,3,Magic Monster,,"{key:instant, static}
{skill:Evil Grin} Choose a card type (cannot chose token). Discard cards from the top of your deck until you discard a card of the chosen type or your deck runs out of cards. Add the card of the chosen type to your hand.",chesireCat.png
Sky Spirit,2,3,Magic,,{skill:Gust} Gain an extra movement phase this turn.,skySpirit.png
Nyx,2,3,Magic Monster,"{key:Quick}
{cost:As an additional cost, sacrifice a card you control.}
{trigger:victor} You may clone Nyx.","{fskill:Reunion} For every other card named Nyx you control, sacrifice them and add their {force:?} and attached cards to this one.",nyx.png
Abstract Wizard,4,3,Old Wizard,,"{key:delayed, safe}
{skill:Abstraction} Copy your next spell cast, then return this card to your hand.",abstractWizard2.png
Corpse Beetle,2,3,Bug Monster,When Corpse Beetle enters your discard you may sacrifice a card you control.,{skill:Skinner} Sacrifice a card you control: gain {force:2}.,corpseBeetle2.png
Wretched,1,3,Ghost Monster,"{key:effect, fragile}
{trigger:perish} Create up to 2 Ghost {force:1}/{key:bleed} tokens.",,wretched.png
Radiant Larva,1,3,Bug,"{key:Delayed}
You may cast Radiant Larva if it enters the discard without perishing.
{trigger:cast} Set a Bug card from your deck or discard except it is LVL 1.",,radiantLarva.png
Helpful Honey bee,1,3,Bug,"When Helpful Honey Bee enters the discard, draw 2 cards.",,honeyBee.png
Crow Practitioner,3,3,Crow,,{skill:Crow Medicine} Add a unit from your discard pile to your hand. It cannot be played this turn.,crowDoctor.png
Repented,2,3,Ghost Magic,"When Repented deals damage, deal 1 damage to all front row cards your opponent controls.",,repented.png
Cicada,3,3,Dark Bug,"If Cicada enters your discard, give {force:2} to a card you control until the end of the turn.","{skill:Dig} Search your deck for a Bug, and send it to your discard pile or sacrifice Cicada.",cicada.png
Serendipity,0,3,Ghost God,"If Serendipity is in the back row, gain {force:1} when a card enters your discard.
{trigger:end} If Serendipity is in the front row, lose {force:2}.",{skill:undbind} Discard 3 cards from the top of your deck. Remain active if your deck is empty after discarding cards.,serendipity.png
Soul Baron,3,3,Magic God,{trigger:perish} Add attached cards to your hand.,"{skill:Ignite} Attach the top 2 cards of your deck and add 2 soul counters to Soul Baron. If Soul Lantern is attached, set it instead.",soulBaron.png
Void Pointer,4,3,Celestial,"{key:delayed}
{trigger:enter} Void 3 cards from the top of your deck.
{trigger:perish} Add up to 2 of the voided cards to your hand.",,voidPointer.png
Onyx Defender,3,3,Golem,"{key:muted, warden}
{cost:Must be played in the left zone.} Cards you control in the center zone have +{force:1}.","{skill:Magic Link} Search your deck for a card with {skill:Magic Link} and reveal it, or set a card from your hand with {skill:Magic Link}.",onyxGolem.png
Deconstructor,1,3,Golem,"{key:muted, warden}
{trigger:end} Gain {force:2}.",{skill:Seperation} You may remove up to {force:3} from Deconstructor and give it to another card you control.,deconstructor.png
Crusher Golem,5,3,Dark Golem,"{key:muted}
Crusher Golem deals damage equal to half of the opposing card's base {force:?}, rounded up.",,crusherGolem.png
Raster Beast,3,3,Magic Monster,"{key:warden}
Whenever Raster Beast loses {force:?}, you may distribute the lost {force:?} among other cards you control in any way you want.",,rasterBeast.png
Specular Golem,4,3,Golem,,"{key:effect}
{skill:Blinding Light} Target card cannot deal combat damage until the end of the turn.",specularRobot.png
Flower Wrangler,3,3,Bug,{trigger:enter} Target card your opponent controls gains {key:Static} and {key:sick}.,,flowerWrangler.png
Marlita Red to Blue,1,4,Marlita God,"{key:Bleed}
{cost:As an additional cost, sacrifice at least 1 Marlita card you control.} For each card sacrificed as part of Marlita Red to Blue's cost, gain {force:3} until the end of the turn.",{skill:marletion} Return all Marlita cards from your discard to your hand.,marlitaRedToBlue.png
Horror From Above,?,4,Dark Monster,"{key:Bleed, Doom}
Horror From Above's {force:?} is equal to the number of times you've played it this turn times 2.
{trigger:victor} Return Horror From Above to your Hand.",,horror.png
Reaper,1,4,Ghost Monster,"{key:Bleed}
Front row cards your opponent controls have {key:Doom} while Reaper is in play. When a card enters your opponent's void, Reaper becomes {force:3} until the end of the turn.",,reaper.png
Shiny Crow,3,4,Magic Crow,"{key:effect}
When a Crow enters your control, deal 1 damage to a target card your opponent controls.",,shinyCrow.png
Shadow Prince,3,4,Magic God,"{key:instant, static}
{cost:As an additional cost, sacrifice 2 cards you control.}
{trigger:enter} Reveal cards from the top of your deck equal to your LVL, then add up to 1 card of each LVL among them to your hand. You cannot play the cards this turn. Send the rest to the bottom of your deck.",,ShadowPrince2.png
Miracle Machine,0,4,Magic Structure,"{key:Static}
If a unit you control were to perish, you may void a card from your hand: return the unit to your hand instead. If you do, gain 2 matter counters.",{fskill: Blender} Remove a matter counter: deal 1 damage to a target front row card.,miracleMachine.png
Ouroboros,6,4,Celestial Monster,"{key:Warden, Delayed}
{cost:As an additional cost, you must control at least 3 cards.} Whenever a non-token card you control perishes except Ouroboros, you may void a card from your hand and return it to play.
{trigger:perish} Return Ouroboros to your hand.",,ouroboros.png
Rat Mother,3,4,Plague Rat God,"{key:Delayed}
{trigger:enter} Choose 2 players. Fill open zones of those players with Rat {force:1}/{key:sick} tokens.",{skill:Rat Ritual} Sacrifice all Rat tokens in play: deal 1 damage to an opponent for each Rat sacrificed.,ratMother.png
Moon Angel,4,4,Magic Celestial,"{key:delayed}
When a unit perishes, add a soul counter to Moon Angel.",{skill:Piercing Light} Remove all soul counters from cards you control: deal damage equal to the number of soul counters removed to all opposing cards.,moonAngel.png
Spiritual Warlord,2,4,Ghost Warrior,"{key:Quick}
{trigger:victor} Create a Bead {force:1}/{key:fragile} token with ""{trigger:perish} A Ghost card you control gains {force:1}"". You may move Spiritual Warlord to an open zone on your grid. If you do, Spiritual Warlord remains active.
{trigger:breach} Draw cards equal to the damage dealt by Spiritual Warlord.",,spiritualWarrior.png
Phase Beast,4,5,Ghost Monster,"{key:Delayed, Bleed}
If Phase Beast were to take damage, you may discard a card from your hand to ignore the damage dealt and take 1 damage instead. Phase Beast becomes inactive.",,phaseBeast.png
Cauldron Of Chaos,3,5,Ghost God,"{key:Delayed, static}
You can only use {skill:Chaotic Brew} if you have at least 10 cards in your discard.","{skill:Chaotic Brew} Shuffle your discard pile and swap it with your deck, then add 2 cards from your discard to your hand. This change does not count as adding cards to your discard pile. ",cauldronOfChaos.png
Saturn Bear,5,5,Celestial Monster,"{key:Delayed}
{trigger:victor} Create a Celestial {force:2} token.",,saturnBear.png
Black Hole,0,5,Celestial God,,"{key:Delayed}
{fskill:Mass Absorption} Void a card you control: gain {force:?} equal to the {force:?} of the voided card.",blackHole.png
The Moon,7,5,God,"{key:Delayed, Bleed}
{cost:As an additional cost, sacrifice a card you control.}",{skill:Truth of The Moon} Cards you control gain {key:immortal} until the start of your next turn.,theMoon.png
Empty Man,10,5,Old God,"{key:Immortal, Sealed, muted}
{cost:As an additional cost, sacrifice 3 cards you control. Cannot be played in the back row.}",{skill:Emptiness} Deal 5 damage to all units your opponent controls.,emptyMan.png
Mineral God,0,5,Golem God,"{key:static, warden, safe}
{trigger:end} Sacrifice a card you control.
{trigger:breach} Set a unit from your discard.",{fskill:Sum of God} Sacrifice all units you control. Gain 2x{force:?} of the units sacrificed. Mineral God is {key:muted} until the end of the turn.,mineralGod.png
Crow Devourer,3,5,Crow Monster,"{key:muted}
{trigger:enter} Attach all Crow cards in play to Crow Devourer.
{trigger:breach} Deal damage to the opponent equal to the number of Crow cards attached to Crow Devourer.",,CrowDevourer.png
Void Saviour,3,5,Dark God,"{key:Delayed, Static, Immortal}
{trigger:enter} Deal 2 damage to target player.","{skill:Void Prayer} Reveal the top 3 cards of your deck. Add 2 to your hand, void the rest.",landTerra.png
Wetaphemesis,2,5,Bug God,"{key:Bleed, Doom, safe}
Gain {force:2} when a Bug enters your discard.",{fskill: Exoburial} Return a Bug from your discard to your hand.,Wetaphemasis.png
Ethereal Witch,5,5,Celestial Wizard,"{key:delayed}
When you cast your first 2 cards in a turn, draw a card.
{trigger:enter} Discard your hand.",,etherealWitch.png
Queen Bee Bwyndolyn,3,5,Bug God,"{key:Bleed}
{cost:As an additional cost, sacrifice 2 cards you control.}
{trigger:enter} Cards you control gain {key:bleed}.
{trigger:cast} Destroy all non-Bug units in play.",,bwendalyn.png
Killer Bee,4,5,Bug Monster,"{key:bleed}
{cost:As an additional cost, set your life to 1.} 
{trigger:victor} You may destroy a card in play.
{trigger:breach} Gain {force:1}.",,killerBee.png
Hive Infiltrator,2,5,Ghost Bug,"{key:Static}
{cost:As an additional cost, sacrifice a card you control.}
{trigger:perish} If Hive Infiltrator does not have {key:fragile}, return it to play as {force:2} with {key:fragile} and {key:delayed}.
{trigger:breach} If Hive Infiltrator has {key:fragile}, remove it and gain {force:1}.",,hiveInfiltrator.png
Godless Vessel,10,5,Monster God,"{key:Delayed, Immortal, Bleed, Static}
{cost:As an additional cost, sacrifice 2 cards you control. Must be played in the center zone.}
{trigger:perish} Destroy all units in play.
{trigger:begin} Sacrifice a unit you control.",,godlessVessel.png
Ethereal Archmage,5,5,Celestial Wizard,"{key:delayed, muted}
{trigger:enter} Discard your hand.","{skill:Heat Death} Void as many spells in your discard as you want. For every spell voided this way, deal 1 damage to each opponent.",etherealArchmage.png
Toxician,5,5,Plague God,"{key:sealed, muted, immortal}
Toxician cannot gain {key:sick}.
{trigger:begin} Up to 2 target cards gain {key:sick}.",{skill:snuff} Destroy any number of sick cards in play.,toxician.png
