Copies,Nickname,name,name style,force,lvl,subtype,text,skill,skill style,art,card_background,card_background style,shadows,shadows style,rarity,Column 1
1,,Fungal Guardian,,2,2,Plague Warrior,"{key:warden}
{trigger:perish} Cards your opponent controls gain {key:sick}.",,,fungalGuardian.png,,,,,,
1,,Banish Watcher,rrare,2,2,Celestial,"{key:warden}
When a card enters your void target unit you control gains {force:1}.",,,banishWatcher.png,,"{background:rgba(173, 255, 190, 1)}",,,,
1,,Specter Cube,,0,2,Magic Ghost,"{key:fragile}
Other units you control in the same row as Specter Cube have +{force:?} equal to Specter Cube's {force:?}.",,,specterGhost.png,,,,,,
1,rainDemon,Rain Demon,,1,2,Monster,,{skill:downpour} Discard 2 cards from your hand: deal damage to a front row card in play equal to the lowest LVL of the cards discarded.,,rainDemon.png,,,,,,
1,livingHome,Living Home,superRare,2,2,Structure Golem,Draw a card when an icon enters your control.,"{skill:Magic Link} Search your deck for a card with {skill:Magic Link} and reveal it, or set a card from your hand with {skill:Magic Link}.",,livingHome.png,,"{background:linear-gradient(180deg, rgba(0, 188, 255, 1) 0%, rgba(24, 160, 52, 1) 100%)}",,{filter:hue-rotate(204deg) brightness(3) contrast(0.1) saturate(3) },.sr,
1,boilBeast,Boil Beast,,3,3,Plague Monster,"Whenever an instance of sick damage occurs, draw a card.",,,boilBeast.png,,,,,.b,
1,sapSpider,Sap Spider,rrare,0,3,Monster,,"{key:instant, bleed}
{skill:Sucker} Sap Spider swaps {force:?} with target unit your opponent controls.",,sapSpider.png,,"{background:rgba(19, 237, 206, 1)}",,,.r,
1,tombCrawler,Tomb Crawler,,3,3,Ghost Monster,"{key:Quick}
{trigger:victor} Discard a card from your hand. If you do, draw a card.",,,tombCrawler.png,,,,,.b,
1,locust,Locust,rrare,2,3,Plague Bug,"{key:effect}
Locust has {key:Quick} when attacking. Every time a card gains {key:sick},  this card gains {force:1}.",,,locust.png,,"{background:rgba(81, 121, 77, 1)}",,,.b,
1,mog,Mog of The Bog,rrare,0,3,Plague Monster,"{key:muted, Bleed, Sick}
Mog of the Bog gains {force:2} instead of taking sick damage.",{fskill:Contagious} Cure a card you control: give {key:sick} to another card in play. Cannot target the same card twice in one turn.,]fskill,mog.png,,"{background:rgba(79, 77, 8, 1)}",,,.r,
1,conjoined,Conjoined,superRare,3,3,Plague Monster,,"{key:effect, sick}
{skill:New Part} Create a Mold {force:1} token, then attach a unit from your hand to it. Mold gains the text of the attached unit (the attached unit goes to the discard when Mold perishes).",,conjoined.png,,"{background:linear-gradient(180deg, rgba(99, 33, 60, 1) 39%, rgba(91, 206, 44, 1) 100%)}",,,.sr,
1,doctor,Doctor,divineRare,0,3,Plague Wizard,"{key:Static}
Doctor does not take sick damage.",{fskill:Surgery} Cure a card: target unit you control gains {force:3}.,]fskill,doctor.png,,"{background:conic-gradient(rgba(93, 225, 220, 1) 0%, rgba(162, 68, 65, 1) 29%, rgba(93, 225, 220, 1) 31%, rgba(0, 34, 32, 1) 71%, rgba(162, 68, 65, 1) 73%, rgba(0, 34, 32, 1) 97%, rgba(93, 225, 220, 1) 100%)}",,,.dr,
1,falseGolem,False Golem,,?,3,Magic Golem,"{key:delayed}
{trigger:enter} Void a unit in your discard. False Golem gains the text and {force:?} of the voided unit (any {trigger:enter} effects retrigger). If there are no applicable cards, False Golem becomes {force:0}.",,,falseGolem.png,,,,,.b,
1,PearlAgg,Pearl Aggressor,rrare,1,3,Golem,"{key:bleed}
RITUAL: Must be played in the right zone. 
Cards you control in the center zone get +{force:2}.","{skill:Magic Link} Search your deck for a card with {skill:Magic Link} and reveal it, or set a card from your hand with {skill:Magic Link}.",,pearlGolem.png,,"{background:rgba(187, 170, 189, 1)}",,,.r,
1,cheshire,Cheshire Cat,rrare,2,3,Magic Monster,,"{key:instant, static}
{skill:Evil Grin} Choose a card type (cannot chose token). Discard cards from the top of your deck until you discard a card of the chosen type or your deck runs out of cards. Add the card of the chosen type to your hand.",,chesireCat.png,,"{background:rgba(135, 219, 223, 1)}",,,.r,
1,skySpirit,Sky Spirit,,2,3,Magic,,{skill:Gust} Gain an extra movement phase this turn.,,skySpirit.png,,,,,.b,
1,nyx,Nyx,superRare,2,3,Magic Monster,"{key:Quick}
RITUAL: Sacrifice a card you control.
{trigger:victor} You may clone Nyx.","{fskill:Reunion} For every other card named Nyx you control, sacrifice them and add their {force:?} and attached cards to this one.",]fskill,nyx.png,,"{background:linear-gradient(180deg, rgba(51, 104, 81, 1) 0%, rgba(255, 81, 75, 1) 100%)}",,"{outlineColor:rgba(205, 234, 230, 1)}
{mixBlendMode:color-dodge}",.sr,
1,abstractWizard,Abstract Wizard,superRare,4,3,Old Wizard,,"{key:delayed, safe}
{skill:Abstraction} Copy your next spell cast, then return this card to your hand.",,abstractWizard2.png,,"{background:linear-gradient(180deg, rgba(42, 24, 103, 1) 0%, rgba(203, 251, 251, 1) 100%)}",,,.sr,
1,corpseBeetle,Corpse Beetle,rrarerrare,2,3,Bug Monster,When Corpse Beetle enters your discard you may sacrifice a card you control.,{skill:Skinner} Sacrifice a card you control: gain {force:2}.,,corpseBeetle2.png,,"{background:rgba(116, 149, 82, 1)}",,,.r,
1,wretched,Wretched,rrare,1,3,Ghost Monster,"{key:effect, fragile}
{trigger:perish} Create up to 2 Ghost {force:1}/{key:bleed} tokens.",,,wretched.png,,,,,.r,
1,radiantLarva,Radiant Larva,rrare,1,3,Bug,"{key:Delayed}
You may cast Radiant Larva if it enters the discard without perishing.
{trigger:cast} Set a Bug card from your deck or discard except it is LVL 1.",,,radiantLarva.png,,"{background:rgba(255, 255, 255, 1)}",,,.r,
1,helpfulHoneyBee,Helpful Honey bee,,1,3,Bug,"When Helpful Honey Bee enters the discard, draw 2 cards.",,,honeyBee.png,,,,,.b,
1,crowPractioner,Crow Practitioner,,3,3,Crow,,{skill:Crow Medicine} Add a unit from your discard pile to your hand. It cannot be played this turn.,,crowDoctor.png,,,,,.b,
1,repented,Repented,superRare,2,3,Ghost Magic,"When Repented deals damage, deal 1 damage to all front row cards your opponent controls.",,,repented.png,,"{background:linear-gradient(180deg, rgba(123, 173, 172, 1) 0%, rgba(75, 75, 108, 1) 100%) no-repeat 50% 50% / 100% 100%}",,,.sr,
1,cicada,Cicada,,3,3,Dark Bug,"If Cicada enters your discard, give {force:2} to a card you control until the end of the turn.","{skill:Dig} Search your deck for a Bug, and send it to your discard pile or sacrifice Cicada.",,cicada.png,,,,,.b,
1,serendipity,Serendipity,superRare,0,3,Ghost God,"If Serendipity is in the back row, gain {force:1} when a card enters your discard.
{trigger:end} If Serendipity is in the front row, lose {force:2}.",{skill:undbind} Discard 3 cards from the top of your deck. Remain active if your deck is empty after discarding cards.,,serendipity.png,,"{background:linear-gradient(180deg, rgba(148, 197, 189, 1) 0%, rgba(0, 46, 46, 1) 100%) no-repeat 50% 50% / 100% 100%}",,,.sr,
1,soulBaron,Soul Baron,superRare,3,3,Magic God,{trigger:perish} Add attached cards to your hand.,"{skill:Ignite} Attach the top 2 cards of your deck and add 2 soul counters to Soul Baron. If Soul Lantern is attached, set it instead.",,soulBaron.png,,"{background:linear-gradient(180deg, rgba(210, 43, 9, 1) 0%, rgba(105, 255, 255, 1) 100%)}",,,.sr,
1,voidPointer,Void Pointer,superRare,4,3,Celestial,"{key:delayed}
{trigger:enter} Void 3 cards from the top of your deck.
{trigger:perish} Add up to 2 of the voided cards to your hand.",,,voidPointer.png,,"{background:conic-gradient(rgba(171, 12, 169, 1) 0%, rgba(173, 74, 74, 1) 21%, rgba(221, 175, 121, 1) 85%, rgba(171, 12, 168, 1) 100%)}",,,.sr,
1,,Onyx Defender,rrare,3,3,Golem,"{key:muted, warden}
RITUAL: Must be played in the left zone. 
Cards you control in the center zone have +{force:1}.","{skill:Magic Link} Search your deck for a card with {skill:Magic Link} and reveal it, or set a card from your hand with {skill:Magic Link}.",,onyxGolem.png,,"{background:rgba(113, 126, 114, 1)}",,{opacity:0},.r,
1,,Deconstructor,rrare,1,3,Golem,"{key:muted, warden}
{trigger:end} Gain {force:2}.",{skill:Seperation} You may remove up to {force:3} from Deconstructor and give it to another card you control.,,deconstructor.png,,"{background:rgba(84, 151, 169, 1)}",,,.r,
1,,Crusher Golem,rrare,5,3,Dark Golem,"{key:muted}
Crusher Golem deals damage equal to half of the opposing card's base {force:?}, rounded up.",,,crusherGolem.png,,"{background:rgba(92, 65, 94, 1)}",,,.r,
1,,Raster Beast,superRare,3,3,Magic Monster,"{key:warden}
Whenever Raster Beast loses {force:?}, you may distribute the lost {force:?} among other cards you control in any way you want.",,,rasterBeast.png,,"{background:linear-gradient(180deg, rgba(236, 32, 41, 1) 0%, rgba(189, 132, 115, 1) 100%)}",,,,
1,specularRobot,Specular Golem,superRare,4,3,Golem,,"{key:effect}
{skill:Blinding Light} Target card cannot deal combat damage until the end of the turn.",,specularRobot.png,,"{background:linear-gradient(180deg, rgba(165, 230, 247, 1) 0%, rgba(26, 54, 146, 1) 100%)}",,,.sr,
1,flowerWrangler,Flower Wrangler,rrare,3,3,Bug,{trigger:enter} Target card your opponent controls gains {key:Static} and {key:sick}.,,,flowerWrangler.png,,"{background:rgba(122, 151, 199, 1)}",,,.b,
1,marlitaRedBlue,Marlita Red to Blue,superRare,1,4,Marlita God,"{key:Bleed}
RITUAL: Sacrifice at least 1 Marlita card you control. For each card sacrificed gain {force:3} until the end of the turn.",{skill:marletion} Return all Marlita cards from your discard to your hand.,,marlitaRedToBlue.png,,"{background:linear-gradient(180deg, rgba(236, 32, 41, 1) 0%, rgba(11, 87, 165, 1) 100%)}",,,.sr,
1,horrorFromAbove,Horror From Above,superRare,?,4,Dark Monster,"{key:Bleed, Doom}
Horror From Above's {force:?} is equal to the number of times you've played it this turn times 2.
{trigger:victor} Return Horror From Above to your Hand.",,,horror.png,,"{background:conic-gradient(rgba(145,107,176,1) 0%, rgba(171, 172, 177, 1) 27%, rgba(44, 41, 48, 1) 58%, rgba(107, 142, 161, 1) 84%, rgba(145, 107, 176, 1) 100%)}",,,.sr,
1,misfortuneGolem,Reaper,rrare,1,4,Ghost Monster,"{key:Bleed}
Front row cards your opponent controls have {key:Doom} while Reaper is in play. When a card enters your opponent's void, Reaper becomes {force:3} until the end of the turn.",,,reaper.png,,"{background:rgba(97, 13, 14, 1)}",,"{mixBlendMode:exclusion}
{outlineColor:rgba(12, 99, 83, 0.66)}",.r,
1,shinyCrow,Shiny Crow,rrare,3,4,Magic Crow,"{key:effect}
When a Crow enters your control, deal 1 damage to a target card your opponent controls.",,,shinyCrow.png,,"{background:rgba(248, 214, 247, 1)}",,,.r,
1,,Shadow Prince,divineRare,3,4,Magic God,"{key:instant, static}
RITUAL: Sacrifice 2 cards you control.
{trigger:enter} Reveal cards from the top of your deck equal to your LVL, then add up to 1 card of each LVL among them to your hand. You cannot play the cards this turn. Send the rest to the bottom of your deck.",,,ShadowPrince2.png,,"{background:radial-gradient(rgba(179, 184, 144, 1) 77%, rgba(181, 123, 192, 1) 85%, rgba(146, 68, 82, 1) 93%, rgba(0,0,0,1) 100%) no-repeat 50% 50% / 100% 100%}",,"{mixBlendMode:difference}
{outlineColor:rgba(170, 170, 170, 1)}",.dr,
1,,Miracle Machine,superRare,0,4,Magic Structure,"{key:Static}
If a unit you control were to perish, you may void a card from your hand: return the unit to your hand instead. If you do, gain 2 matter counters.",{fskill: Blender} Remove a matter counter: deal 1 damage to a target front row card.,]fskill,miracleMachine.png,,"{background:linear-gradient(180deg, rgba(187, 191, 189, 1) 0%, rgba(50, 75, 139, 1) 100%) no-repeat 50% 50% / 100% 100%}",,,.sr,
1,,Ouroboros,divineRare,6,4,Celestial Monster,"{key:Warden, Delayed}
You must control 3 cards to play Ouroboros. Whenever a non-token card you control perishes except Ouroboros, you may void a card from your hand and return it to play.
{trigger:perish} Return Ouroboros to your hand.",,,ouroboros.png,,"{background:conic-gradient(rgba(195, 210, 164, 1) 0%, rgba(22, 169, 143, 1) 20%, rgba(236, 32, 41, 1) 41%, rgba(133, 204, 234, 1) 63%, rgba(220, 161, 162, 1) 82%, rgba(195, 210, 164, 1) 100%) no-repeat 50% 50% / 100% 100%}",,"{outlineColor:rgba(202, 223, 130, 1)}{mixBlendMode:difference}",,
1,,Rat Mother,superRare,3,4,Plague Rat God,"{key:Delayed}
{trigger:enter} Choose 2 players. Fill open zones of those players with Rat {force:1}/{key:sick} tokens.",{skill:Rat Ritual} Sacrifice all Rat tokens in play: deal 1 damage to an opponent for each Rat sacrificed.,,ratMother.png,,"{background:linear-gradient(180deg, rgba(121, 242, 69, 1) 0%, rgba(225, 116, 135, 1) 100%) no-repeat 50% 50% / 100% 100%}",,"{mixBlendMode:exclusion}{outlineColor:rgba(22, 169, 143, 1)}",,
1,,Moon Angel,rrare,4,4,Magic Celestial,"{key:delayed}
When a unit perishes, add a soul counter to Moon Angel.",{skill:Piercing Light} Remove all soul counters from cards you control: deal damage equal to the number of soul counters removed to all opposing cards.,,moonAngel.png,,"{background:rgba(214, 230, 214, 1)}",,,.r,
1,spritWarlord,Spiritual Warlord,divineRare,2,4,Ghost Warrior,"{key:Quick}
{trigger:victor} Create a Bead {force:1}/{key:fragile} token with ""{trigger:perish} A Ghost card you control gains {force:1}"". You may move Spiritual Warlord to an open zone on your grid. If you do, Spiritual Warlord remains active.
{trigger:breach} Draw cards equal to the damage dealt by Spiritual Warlord.",,,spiritualWarrior.png,,"{background:linear-gradient(45deg, rgba(255, 255, 255, 1) 0%, rgba(255, 106, 0, 1) 17%, rgba(0, 255, 255, 1) 36%, rgba(255, 255, 255, 1) 53%, rgba(0, 255, 255, 1) 69%, rgba(255, 106, 0, 1) 86%, rgba(255, 255, 255, 1) 100%)}",,"{mixBlendMode:color-burn}
{outlineColor:rgba(236, 32, 41, 1)}",.dr,
1,phaseBeast,Phase Beast,rrare,4,5,Ghost Monster,"{key:Delayed, Bleed}
If Phase Beast were to take damage, you may discard a card from your hand to ignore the damage dealt and take 1 damage instead. Phase Beast becomes inactive.",,,phaseBeast.png,,"{background:rgba(142, 176, 201, 1)}",,,.r,
1,cauldronOfChaos,Cauldron Of Chaos,divineRare,3,5,Ghost God,"{key:Delayed, static}
You can only use {skill:Chaotic Brew} if you have at least 10 cards in your discard.","{skill:Chaotic Brew} Shuffle your discard pile and swap it with your deck, then add 2 cards from your discard to your hand. This change does not count as adding cards to your discard pile. ",,cauldronOfChaos.png,,"{background:conic-gradient(rgba(51, 48, 80, 1) 0%, rgba(141, 94, 88, 1) 25%, rgba(108, 138, 100, 1) 50%, rgba(153, 128, 191, 1) 81%, rgba(51, 48, 80, 1) 100%)}",,"{mixBlendMode:difference}
{outlineColor:rgba(255, 255, 255, 1)}",.dr,
1,saturnBear,Saturn Bear,rrare,5,5,Celestial Monster,"{key:Delayed}
{trigger:victor} Create a Celestial {force:2} token.",,,saturnBear.png,,"{background:rgba(240, 162, 201, 1)}",,,.r,
1,blackHole,Black Hole,divineRare,0,5,Celestial God,,"{key:Delayed}
{fskill:Mass Absorption} Void a card you control: gain {force:?} equal to the {force:?} of the voided card.",]fskill,blackHole.png,,"{background:conic-gradient(rgba(206, 33, 82, 1) 0%, rgba(189, 206, 58, 1) 13%, rgba(189, 197, 206, 1) 20%, rgba(58, 33, 173, 1) 46%, rgba(206, 33, 82, 1) 62%, rgba(33, 181, 165, 1) 72%, rgba(31, 16, 40, 1) 82%, rgba(206, 33, 82, 1) 100%)}",,"{outlineColor:rgba(255, 255, 255, 1)}
{mixBlendMode:exclusion}",.dr,
1,theMoon,The Moon,divineRare,7,5,God,"{key:Delayed, Bleed}
RITUAL: Sacrifice a card you control.",{skill:Truth of The Moon} Cards you control gain {key:immortal} until the start of your next turn.,,theMoon.png,,"{background:linear-gradient(45deg, rgba(0, 24, 90, 1) 0%, rgba(122, 49, 90, 1) 12%, rgba(33, 82, 74, 1) 23%, rgba(165, 165, 156, 1) 35%, rgba(165, 165, 156, 1) 66%, rgba(33, 82, 74, 1) 78%, rgba(122, 49, 90, 1) 89%, rgba(0, 24, 90, 1) 100%)}",,"{mixBlendMode:difference}
{outlineColor:rgba(133, 204, 234, 1)}",.dr,
1,emptyMan,Empty Man,superRare,10,5,Old God,"{key:Immortal, Sealed, muted}
RITUAL: Sacrifice 3 cards you control. Must be played in the front row.",{skill:Emptiness} Deal 5 damage to all units your opponent controls.,,emptyMan.png,,"{background:linear-gradient(125deg, rgba(119, 74, 158, 1) 6%, rgba(154, 136, 122, 1) 22%, rgba(255, 255, 255, 1) 50%, rgba(132, 118, 178, 1) 78%, rgba(0, 0, 0, 1) 94%)}",,{mixBlendMode:color-dodge},.sr,
